,account number,name,sku,quantity,unit price,ext price,date
309,163416,Purdy-Kunde,S2-78676,6,16.89,101.34,2014-03-16 22:32:07
310,740150,Barton LLC,S2-83881,12,22.62,271.44,2014-03-17 02:39:33
311,383080,Will LLC,S1-50961,22,76.82,1690.04,2014-03-17 05:49:07
312,163416,Purdy-Kunde,S1-47412,45,35.11,1579.95,2014-03-17 07:18:13
313,714466,Trantow-Barrows,S2-16558,20,78.23,1564.6,2014-03-17 09:03:19
314,257198,"Cronin, Oberbrunner and Spencer",S1-82801,22,12.01,264.22,2014-03-17 10:05:43
315,146832,Kiehn-Spinka,S1-47412,13,81.92,1064.96,2014-03-17 10:29:26
316,672390,Kuhn-Gusikowski,B1-20000,30,89.37,2681.1,2014-03-17 19:59:27
317,412290,Jerde-Hilpert,B1-65551,32,64.37,2059.84,2014-03-17 22:14:01
318,412290,Jerde-Hilpert,B1-65551,11,50.79,558.69,2014-03-18 07:22:45
319,786968,"Frami, Hills and Schmidt",B1-04202,30,29.22,876.6,2014-03-18 15:01:17
320,163416,Purdy-Kunde,S2-00301,10,28.81,288.1,2014-03-18 19:43:52
321,218895,Kulas Inc,S2-78676,26,89.38,2323.88,2014-03-19 00:07:04
322,239344,Stokes LLC,B1-53636,34,51.3,1744.2,2014-03-19 04:03:32
323,307599,"Kassulke, Ondricka and Metz",S2-83881,45,88.54,3984.3,2014-03-19 12:50:41
324,146832,Kiehn-Spinka,B1-33087,20,16.28,325.6,2014-03-20 02:53:47
325,218895,Kulas Inc,S1-06532,12,99.3,1191.6,2014-03-20 09:49:19
326,604255,"Halvorson, Crona and Champlin",S2-78676,25,42.08,1052.0,2014-03-20 19:43:21
327,527099,Sanford and Sons,S1-27722,34,69.76,2371.84,2014-03-21 03:36:29
328,604255,"Halvorson, Crona and Champlin",B1-33087,28,61.35,1717.8,2014-03-21 05:41:09
329,672390,Kuhn-Gusikowski,B1-86481,44,12.48,549.12,2014-03-21 05:49:17
330,688981,Keeling LLC,S2-34077,49,91.8,4498.2,2014-03-21 19:20:17
331,604255,"Halvorson, Crona and Champlin",S2-00301,35,24.33,851.55,2014-03-21 20:12:32
332,688981,Keeling LLC,S1-30248,10,88.76,887.6,2014-03-22 08:57:21
333,786968,"Frami, Hills and Schmidt",S1-93683,6,76.56,459.36,2014-03-22 11:19:22
334,729833,Koepp Ltd,S2-11481,18,31.43,565.74,2014-03-22 12:27:11
335,527099,Sanford and Sons,B1-53102,17,57.52,977.84,2014-03-22 17:29:49
336,737550,"Fritsch, Russel and Anderson",S2-11481,47,49.22,2313.34,2014-03-22 23:44:18
337,786968,"Frami, Hills and Schmidt",B1-20000,28,82.3,2304.4,2014-03-23 03:14:06
338,424914,White-Trantow,B1-33364,17,94.22,1601.74,2014-03-23 10:07:48
339,737550,"Fritsch, Russel and Anderson",S1-93683,22,18.19,400.18,2014-03-23 10:33:33
340,672390,Kuhn-Gusikowski,S2-83881,23,16.45,378.35,2014-03-23 15:17:11
341,527099,Sanford and Sons,S1-82801,33,24.52,809.16,2014-03-23 18:17:56
342,714466,Trantow-Barrows,S2-34077,39,94.52,3686.28,2014-03-24 00:11:45
343,688981,Keeling LLC,S1-93683,14,16.6,232.4,2014-03-24 04:09:03
344,412290,Jerde-Hilpert,B1-38851,36,71.97,2590.92,2014-03-24 12:48:26
345,383080,Will LLC,S1-50961,15,95.49,1432.35,2014-03-24 18:17:39
346,604255,"Halvorson, Crona and Champlin",S2-77896,23,64.91,1492.93,2014-03-24 19:21:21
347,141962,Herman LLC,S1-06532,41,83.61,3428.01,2014-03-24 23:36:24
348,527099,Sanford and Sons,B1-33364,14,52.22,731.08,2014-03-25 08:26:19
349,688981,Keeling LLC,B1-04202,28,66.71,1867.88,2014-03-25 13:58:13
350,424914,White-Trantow,S2-23246,13,84.64,1100.32,2014-03-25 17:21:03
351,163416,Purdy-Kunde,B1-33087,30,32.14,964.2,2014-03-26 00:12:27
352,218895,Kulas Inc,S1-50961,49,93.69,4590.81,2014-03-26 02:23:16
353,688981,Keeling LLC,S1-06532,23,70.8,1628.4,2014-03-26 06:23:07
354,786968,"Frami, Hills and Schmidt",B1-53636,31,37.51,1162.81,2014-03-26 07:24:28
355,412290,Jerde-Hilpert,S2-77896,23,62.27,1432.21,2014-03-26 10:02:10
356,218895,Kulas Inc,S1-27722,11,78.64,865.04,2014-03-26 23:07:48
357,642753,Pollich LLC,S1-47412,46,20.98,965.08,2014-03-27 01:28:34
358,257198,"Cronin, Oberbrunner and Spencer",S2-00301,19,41.81,794.39,2014-03-27 03:52:01
359,786968,"Frami, Hills and Schmidt",S1-47412,43,62.78,2699.54,2014-03-27 06:31:31
360,146832,Kiehn-Spinka,S1-65481,9,42.52,382.68,2014-03-27 07:23:53
361,688981,Keeling LLC,B1-38851,21,21.5,451.5,2014-03-27 09:54:17
362,688981,Keeling LLC,B1-38851,39,89.69,3497.91,2014-03-27 16:14:21
363,257198,"Cronin, Oberbrunner and Spencer",S1-30248,11,58.82,647.02,2014-03-27 20:40:13
364,412290,Jerde-Hilpert,S2-82423,14,13.98,195.72,2014-03-28 06:21:36
365,714466,Trantow-Barrows,B1-86481,6,97.21,583.26,2014-03-28 14:43:13
366,239344,Stokes LLC,S2-77896,10,91.51,915.1,2014-03-28 20:08:07
367,239344,Stokes LLC,S2-11481,19,18.89,358.91,2014-03-29 02:48:16
368,714466,Trantow-Barrows,S1-06532,46,56.79,2612.34,2014-03-29 05:19:56
369,383080,Will LLC,S1-82801,38,39.94,1517.72,2014-03-29 05:20:21
370,424914,White-Trantow,B1-69924,19,32.8,623.2,2014-03-29 11:11:17
371,383080,Will LLC,B1-33087,19,56.74,1078.06,2014-03-30 00:51:08
372,604255,"Halvorson, Crona and Champlin",B1-53102,32,86.77,2776.64,2014-03-30 01:14:16
373,729833,Koepp Ltd,S1-82801,28,92.14,2579.92,2014-03-30 05:44:04
374,257198,"Cronin, Oberbrunner and Spencer",S2-77896,4,23.04,92.16,2014-03-30 18:12:17
375,424914,White-Trantow,B1-38851,9,76.17,685.53,2014-03-30 23:20:58
376,239344,Stokes LLC,B1-05914,-1,57.02,-57.02,2014-03-31 06:08:18
377,604255,"Halvorson, Crona and Champlin",S2-78676,18,57.02,1026.36,2014-03-31 06:53:52
378,218895,Kulas Inc,S2-34077,49,59.88,2934.12,2014-03-31 08:09:41
379,737550,"Fritsch, Russel and Anderson",B1-65551,12,56.24,674.88,2014-03-31 08:43:24
380,642753,Pollich LLC,S1-93683,21,92.57,1943.97,2014-03-31 11:37:34
381,412290,Jerde-Hilpert,B1-20000,30,22.38,671.4,2014-03-31 21:41:31
382,307599,"Kassulke, Ondricka and Metz",S2-16558,46,56.04,2577.84,2014-03-31 22:11:22
383,672390,Kuhn-Gusikowski,B1-04202,19,27.86,529.34,2014-03-31 23:13:14
